chr2,4324503,4578549,0,479,DPSE_AFC14
chr2,4578549,5321741,1,479,DPSE_AFC14
chr2,5321741,5642108,2,479,DPSE_AFC14
chr2,5642108,6317490,1,479,DPSE_AFC14
chr2,6317490,6791264,16,477,DPSE_AFC14
chr2,6322343,6344275,16,477,DPSE_AFC14
chr2,6344275,6364188,16,477,DPSE_AFC14
chr2,6364188,6381653,16,477,DPSE_AFC14
chr2,6381653,6403261,16,477,DPSE_AFC14
chr2,6403261,6425927,16,477,DPSE_AFC14
chr2,8681714,9410859,17,449,DPSE_AFC14
chr2,9410859,9642896,4,479,DPSE_AFC14
chr2,9642896,9742133,2,479,DPSE_AFC14
chr2,9742133,10160650,7,478,DPSE_AFC14
chr2,11316220,11949759,3,466,DPSE_AFC14
chr2,11949759,13056117,7,475,DPSE_AFC14
chr2,13056117,13583765,21,476,DPSE_AFC14
chr2,13599135,13741271,1,477,DPSE_AFC14
chr2,13741271,14032881,3,477,DPSE_AFC14
chr2,14032881,14350327,3,479,DPSE_AFC14
chr2,17635638,18158999,25,479,DPSE_AFC14
chr2,17884325,17905246,25,479,DPSE_AFC14
chr2,17905246,17925474,25,479,DPSE_AFC14
chr2,17925474,17944671,25,479,DPSE_AFC14
chr2,17944671,17966209,25,479,DPSE_AFC14
chr2,17966209,17988587,25,479,DPSE_AFC14
chr2,17988587,18009887,25,479,DPSE_AFC14
chr2,18158999,18539735,3,479,DPSE_AFC14
chr2,18539735,18830726,5,479,DPSE_AFC14
chr2,18830726,19133110,3,470,DPSE_AFC14
chr2,19133110,19458655,3,467,DPSE_AFC14
chr2,19458655,20451779,18,474,DPSE_AFC14
chr2,20451779,21290845,13,477,DPSE_AFC14
chr2,21290845,21559074,1,479,DPSE_AFC14
chr2,21559074,21648704,0,478,DPSE_AFC14
chr2,21648704,21802491,3,478,DPSE_AFC14
chr2,21974961,22567971,4,479,DPSE_AFC14
chr2,22338702,22366110,4,479,DPSE_AFC14
chr2,22366110,22401195,4,479,DPSE_AFC14
chr2,22401195,22409657,4,479,DPSE_AFC14
chr2,22409657,22428291,4,479,DPSE_AFC14
chr2,22428291,22446133,4,479,DPSE_AFC14
chr2,24064523,24174791,1,478,DPSE_AFC14
chr2,24174791,24566054,8,479,DPSE_AFC14
chr2,24615815,25649234,7,465,DPSE_AFC14
chr2,25649234,26043975,4,476,DPSE_AFC14
chr2,26066351,26795815,7,478,DPSE_AFC14
chr2,26795815,26973021,2,479,DPSE_AFC14
chr2,26973021,27096399,0,479,DPSE_AFC14
chr2,27126354,27280211,0,479,DPSE_AFC14
chr2,27280211,27678752,7,479,DPSE_AFC14
chr2,27678752,27848511,4,479,DPSE_AFC14
chr2,27848511,28112289,8,479,DPSE_AFC14
chr2,28112289,28238414,0,477,DPSE_AFC14
chr2,28238414,28438833,1,476,DPSE_AFC14
chr2,28438833,28637225,2,320,DPSE_AFC14
chr2,28637225,28941890,2,317,DPSE_AFC14
chr2,28941890,29392612,0,414,DPSE_AFC14
chr2,29199570,29392612,0,475,DPSE_AFC14
chr2,29199570,30215158,14,475,DPSE_AFC14
chr2,30706911,30855752,0,479,DPSE_AFC14
chr2,30855752,31168408,0,479,DPSE_AFC14
chr2,31168408,31677593,1,479,DPSE_AFC14
chr3,5072862,5262913,0,457,DPSE_AFC14
chr3,5262913,6173168,0,457,DPSE_AFC14
chr3,6173168,6834402,5,479,DPSE_AFC14
chr3,6869524,8780323,44,479,DPSE_AFC14
chr3,8780323,10250344,22,479,DPSE_AFC14
chr3,10250344,10708608,4,479,DPSE_AFC14
chr3,10708608,12435330,39,478,DPSE_AFC14
chr3,12435330,12658999,3,470,DPSE_AFC14
chr3,12658999,13024410,7,470,DPSE_AFC14
chr3,13032406,13339678,7,479,DPSE_AFC14
chr3,13339678,13693644,14,479,DPSE_AFC14
chr3,13693644,13880748,11,479,DPSE_AFC14
chr3,13970909,14278093,7,479,DPSE_AFC14
chr3,14278100,14485148,5,479,DPSE_AFC14
chr3,15732847,17142184,11,475,DPSE_AFC14
chr3,17142184,17891954,9,479,DPSE_AFC14
chr3,17891954,18220751,7,479,DPSE_AFC14
chr3,18222768,18399344,5,474,DPSE_AFC14
chr3,18399344,18836617,11,474,DPSE_AFC14
chr3,18836617,19108597,9,479,DPSE_AFC14
chr3,19108597,20437257,10,478,DPSE_AFC14
chr3,20437258,20518513,0,478,DPSE_AFC14
chr3,22837274,23002755,2,479,DPSE_AFC14
chr4,20521,2254503,5,459,DPSE_AFC14
chr4,20521,6742001,0,459,DPSE_AFC14
chr4,2780165,13059517,5,479,DPSE_AFC14
chr4,2801202,4408513,19,476,DPSE_AFC14
chr4,2953511,3407164,1,468,DPSE_AFC14
chr4,2960962,3236582,18,475,DPSE_AFC14
chr4,3092989,3545546,0,472,DPSE_AFC14
chr4,3407164,4014466,5,478,DPSE_AFC14
chr4,3545546,3900319,0,472,DPSE_AFC14
chr4,4290947,7485934,4,479,DPSE_AFC14
chr4,4408513,5341805,9,477,DPSE_AFC14
chr4,5106799,7485934,0,478,DPSE_AFC14
chr4,5341805,5524215,8,478,DPSE_AFC14
chr4,5473025,7030236,80,479,DPSE_AFC14
chr4,6444618,6601828,0,479,DPSE_AFC14
chr4,6529550,7444734,0,479,DPSE_AFC14
chr4,6601828,6742001,8,479,DPSE_AFC14
chr4,7481773,8137609,0,479,DPSE_AFC14
chr4,9915782,10136960,19,479,DPSE_AFC14
chr4,11491619,12492618,44,466,DPSE_AFC14
chr4,12510462,12937689,14,473,DPSE_AFC14
chr4,12937689,13059516,0,473,DPSE_AFC14
chr4,13880748,13970909,0,479,DPSE_AFC14
chrX,984120,8862835,0,473,DPSE_AFC14
chrX,1122899,1537616,0,478,DPSE_AFC14
chrX,1318229,2057552,0,468,DPSE_AFC14
chrX,2025447,2381653,0,479,DPSE_AFC14
chrX,2057552,3023226,17,472,DPSE_AFC14
chrX,2381653,2543538,2,478,DPSE_AFC14
chrX,2881306,2954931,0,479,DPSE_AFC14
chrX,2881306,36140547,2,479,DPSE_AFC14
chrX,2922355,3092989,7,479,DPSE_AFC14
chrX,2954931,3339739,1,479,DPSE_AFC14
chrX,3023226,3346161,3,479,DPSE_AFC14
chrX,3346161,3493474,1,479,DPSE_AFC14
chrX,4358546,4486976,0,463,DPSE_AFC14
chrX,4486976,4746079,5,479,DPSE_AFC14
chrX,4746079,5114253,19,479,DPSE_AFC14
chrX,5114253,5399221,1,479,DPSE_AFC14
chrX,5399221,5460676,2,479,DPSE_AFC14
chrX,5460676,6848887,45,479,DPSE_AFC14
chrX,5727653,12210843,11,469,DPSE_AFC14
chrX,6233768,6248919,8,478,DPSE_AFC14
chrX,7105134,7270621,3,477,DPSE_AFC14
chrX,7270621,7420251,3,477,DPSE_AFC14
chrX,7467099,7628242,0,473,DPSE_AFC14
chrX,7628242,8242611,22,477,DPSE_AFC14
chrX,8242611,8555191,3,479,DPSE_AFC14
chrX,8555191,8995784,6,478,DPSE_AFC14
chrX,8681714,37358474,8,449,DPSE_AFC14
chrX,8995784,9373952,7,478,DPSE_AFC14
chrX,9373952,9591033,4,479,DPSE_AFC14
